Edge TPU Compiler version 16.0.384591198
Input: /content/runs/detect/train/weights/best_saved_model/best_full_integer_quant.tflite
Output: /content/runs/detect/train/weights/best_saved_model/best_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

STRIDED_SLICE                  20         Mapped to Edge TPU
TRANSPOSE                      4          Mapped to Edge TPU
PAD                            7          Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
LOGISTIC                       58         Mapped to Edge TPU
ADD                            8          Mapped to Edge TPU
MUL                            59         Mapped to Edge TPU
CONV_2D                        64         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
RESHAPE                        6          Mapped to Edge TPU
CONCATENATION                  18         Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
SUB                            2          Mapped to Edge TPU
QUANTIZE                       3          Mapped to Edge TPU
